,Course Names,Course Descriptions,Course Link
10,AI For Everyone,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.",https://www.coursera.org/learn/ai-for-everyone
11,Machine Learning,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, you'll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, you'll learn about some of Silicon Valley's best practices in innovation as it pertains to machine learning and AI.This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas.",https://www.coursera.org/learn/machine-learning
12,IBM Applied AI Professional Certificate,"Artificial intelligence (AI) is transforming our world. Whether youâre a student, a developer, or a technology consultant - understanding AI and knowing how to create AI-powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI developer.

This program will give you a firm understanding of AI technology, its applications, and its use cases. You will become familiar with concepts and tools like machine learning, data science, natural language processing, image classification, image processing, IBM Watson AI services, OpenCV, and APIs. Even if you have no programming background, through this Professional Certificate, you will learn practical Python skills to design, build, and deploy AI applications on the web. The courses will also enable you to apply pre-built AI smarts to your products and solutions.

Rather than create complex AI algorithms and interfaces from scratch, youâll use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, you will have completed several projects that showcase proficiency in applying AI and building AI-powered solutions.

In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM recognizing your proficiency in applied AI.",https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
13,Deep Learning Specialization,"If you want to break into AI, this Specialization will help you do so. Deep Learning is one of the most highly sought after skills in tech. We will help you become good at Deep Learning.

In five courses, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach.

You will also hear from many top leaders in Deep Learning, who will share with you their personal stories and give you career advice.

AI is transforming multiple industries. After finishing this specialization, you will likely find creative ways to apply it to your work.

We will help you master Deep Learning, understand how to apply it, and build a career in AI.",https://www.coursera.org/specializations/deep-learning
14,AI Foundations for Everyone Specialization,"Artificial Intelligence (AI) is no longer science fiction. It is rapidly permeating all industries and having a profound impact on virtually every aspect of our existence. Whether you are an executive, a leader, an industry professional, a researcher, or a student - understanding AI, its impact and transformative potential for your organization and our society is of paramount importance.

This specialization is designed for those with little or no background in AI, whether you have technology background or not, and does not require any programming skills. It is designed to give you a firm understanding of what is AI, its applications and use cases across various industries. You will become acquainted with terms like Machine Learning, Deep Learning and Neural Networks.

Furthermore, it will familiarize you with IBM Watson AI services that enable any business to quickly and easily employ pre-built AI smarts to their products and solutions. You will also learn about creating intelligent virtual assistants and how they can be leveraged in different scenarios.

By the end of this specialization, learners will have had hands-on interactions with several AI environments and applications, and have built and deployed an AI enabled chatbot on a website â without any coding.",https://www.coursera.org/specializations/ai-foundations-for-everyone
15,Introduction to Artificial Intelligence (AI),"In this course you will learn what Artificial Intelligence (AI) is, explore use cases and applications of AI, understand AI concepts and terms like machine learning, deep learning and neural networks. You will be exposed to various issues and concerns surrounding AI such as ethics and bias, & jobs, and get advice from experts about learning and starting a career in AI.  You will also demonstrate AI in action with a mini project.This course does not require any programming or computer science expertise and is designed to introduce the basics of AI to anyone whether you have a technical background or not.",https://www.coursera.org/learn/introduction-to-ai
16,DeepLearning.AI TensorFlow Developer Professional Certificate,"TensorFlow is one of the most in-demand and popular open-source deep learning frameworks available today. The DeepLearning.AI TensorFlow Developer Professional Certificate program teaches you applied machine learning skills with TensorFlow so you can build and train powerful models.

In this hands-on, four-course Professional Certificate program, youâll learn the necessary tools to build scalable AI-powered applications with TensorFlow. After finishing this program, youâll be able to apply your new TensorFlow skills to a wide range of problems and projects. This program can help you prepare for the Google TensorFlow Certificate exam and bring you one step closer to achieving the Google TensorFlow Certificate.

Looking for more advanced TensorFlow content? Check out the new TensorFlow: Data and Deployment Specialization.",https://www.coursera.org/professional-certificates/tensorflow-in-practice
17,,No Descriptions,https://www.coursera.org/projects/deploy-ml-model-aws-elastic-beanstalk
18,Machine Learning Specialization,"This Specialization from leading researchers at the University of Washington introduces you to the exciting, high-demand field of Machine Learning. Through a series of practical case studies, you will gain applied experience in major areas of Machine Learning including Prediction, Classification, Clustering, and Information Retrieval. You will learn to analyze large and complex datasets, create systems that adapt and improve over time, and build intelligent applications that can make predictions from data.",https://www.coursera.org/specializations/machine-learning
19,Advanced Machine Learning Specialization,"This specialization gives an introduction to deep learning, reinforcement learning, natural language understanding, computer vision and Bayesian methods. Top Kaggle machine learning practitioners and CERN scientists will share their experience of solving real-world problems and help you to fill the gaps between theory and practice. Upon completion of 7 courses you will be able to apply modern machine learning methods in enterprise and understand the caveats of real-world data and settings.",https://www.coursera.org/specializations/aml
20,Data Engineering with Google Cloud Professional Certificate,"87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career, and training to support your preparation for the industry-recognized Google Cloud Associate Cloud Engineer certification.

Your journey to Google Cloud certification:

1) Complete the Coursera Cloud Engineering Professional Certificate

2) Review other recommended resources for the Google Cloud Associate Cloud Engineer certification exam

3) Review the Associate Cloud Engineer exam guide

4) Complete Associate Cloud Engineer sample questions

5) Register for the Google Cloud certification exam (remotely or at a test center)

Applied Learning Project

This professional certificate incorporates hands-on labs using our Qwiklabs platform.

These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud Platform products, used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.

New! CERTIFICATE COMPLETION CHALLENGE from Coursera and Google Cloud

Complete the Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate before November 8, 2020 to get the following benefits;

A Google Cloud t-shirt, for the first 1,000 eligible completers while supplies last

Exclusive access to Big Interview ($950 value) and career coaching

30 days free Qwiklabs ($50 value) to earn Google Cloud skill badges",https://www.coursera.org/professional-certificates/gcp-data-engineering
21,Machine Learning for Trading Specialization,"This 3-course Specialization from Google Cloud and New York Institute of Finance (NYIF) is for finance professionals, including but not limited to hedge fund traders, analysts, day traders, those involved in investment management or portfolio management, and anyone interested in gaining greater knowledge of how to construct effective trading strategies using Machine Learning (ML) and Python. Alternatively, this program can be for Machine Learning professionals who seek to apply their craft to quantitative trading strategies. By the end of the Specialization, you'll understand how to use the capabilities of Google Cloud to develop and deploy serverless, scalable, deep learning, and reinforcement learning models to create trading strategies that can update and train themselves. As a challenge, you're invited to apply the concepts of Reinforcement Learning to use cases in Trading. This program is intended for those who have an understanding of the foundations of Machine Learning at an intermediate level. To successfully complete the exercises within the program, you should have advanced competency in Python programming and familiarity with pertinent libraries for Machine Learning, such as Scikit-Learn, StatsModels, and Pandas; a solid background in ML and statistics (including regression, classification, and basic statistical concepts) and basic knowledge of financial markets (equities, bonds, derivatives, market structure, and hedging). Experience with SQL is recommended.",https://www.coursera.org/specializations/machine-learning-trading
22,"Big Data, Artificial Intelligence, and Ethics","This course gives you context and first-hand experience with the two major catalyzers of the computational science revolution: big data and artificial intelligence. With more than 99% of all mediated information in digital format and with 98% of the world population using digital technology, humanity produces an impressive digital footprint. In theory, this provides unprecedented opportunities to understand and shape society. In practice, the only way this information deluge can be processed is through using the same digital technologies that produced it. Data is the fuel, but machine learning it the motor to extract remarkable new knowledge from vasts amounts of data. Since an important part of this data is about ourselves, using algorithms in order to learn more about ourselves naturally leads to ethical questions. Therefore, we cannot finish this course without also talking about research ethics and about some of the old and new lines computational social scientists have to keep in mind. As hands-on labs, you will use IBM Watsonâs artificial intelligence to extract the personality of people from their digital text traces, and you will experience the power and limitations of machine learning by teaching two teachable machines from Google yourself.",https://www.coursera.org/learn/big-data-ai-ethics
23,Self-Driving Cars Specialization,"Be at the forefront of the autonomous driving industry. With market researchers predicting a $42-billion market and more than 20 million self-driving cars on the road by 2025, the next big job boom is right around the corner.

This Specialization gives you a comprehensive understanding of state-of-the-art engineering practices used in the self-driving car industry. You'll get to interact with real data sets from an autonomous vehicle (AV)âall through hands-on projects using the open source simulator CARLA.

Throughout your courses, youâll hear from industry experts who work at companies like Oxbotica and Zoox as they share insights about autonomous technology and how that is powering job growth within the field.

Youâll learn from a highly realistic driving environment that features 3D pedestrian modelling and environmental conditions. When you complete the Specialization successfully, youâll be able to build your own self-driving software stack and be ready to apply for jobs in the autonomous vehicle industry.

It is recommended that you have some background in linear algebra, probability, statistics, calculus, physics, control theory, and Python programming. You will need these specifications in order to effectively run the CARLA simulator: Windows 7 64-bit (or later) or Ubuntu 16.04 (or later), Quad-core Intel or AMD processor (2.5 GHz or faster), NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher, 8 GB RAM, and OpenGL 3 or greater (for Linux computers).",https://www.coursera.org/specializations/self-driving-cars
24,Data Science: Statistics and Machine Learning Specialization,"Build models, make inferences, and deliver interactive data products.

This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, youâll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.",https://www.coursera.org/specializations/data-science-statistics-machine-learning
25,Python for Data Science and AI,"Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the worldâs most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries. This course will take you from zero to programming in Python in a matter of hoursâno prior programming experience necessary! You will learn Python fundamentals, including data structures and data analysis, complete hands-on exercises throughout the course modules, and create a final project to demonstrate your new skills. 

By the end of this course, youâll feel comfortable creating basic programs, working with data, and solving real-world problems in Python. Youâll gain a strong foundation for more advanced learning in the field, and develop skills to help advance your career. 

This course can be applied to multiple Specialization or Professional Certificate programs. Completing this course will count towards your learning in any of the following programs: 

IBM Applied AI Professional Certificate 

Applied Data Science Specialization 

IBM Data Science Professional Certificate 

Upon completion of any of the above programs, in addition to earning a Specialization completion certificate from Coursera, youâll also receive a digital badge from IBM recognizing your expertise in the field.",https://www.coursera.org/learn/python-for-applied-data-science-ai
26,Computational Thinking for Problem Solving,"Computational thinking is the process of approaching a problem in a systematic manner and creating and expressing a solution such that it can be carried out by a computer.  But you don't need to be a computer scientist to think like a computer scientist!  In fact, we encourage students from any field of study to take this course.  Many quantitative and data-centric problems can be solved using computational thinking and an understanding of computational thinking will give you a foundation for solving problems that have real-world, social impact.   In this course, you will learn about the pillars of computational thinking, how computer scientists develop and analyze algorithms, and how solutions can be realized on a computer using the Python programming language.  By the end of the course, you will be able to develop an algorithm and express it to the computer by writing a simple Python program. 

This course will introduce you to people from diverse professions who use computational thinking to solve problems. You will engage with a unique community of analytical thinkers and be encouraged to consider how you can make a positive social impact through computational thinking.",https://www.coursera.org/learn/computational-thinking-problem-solving
27,Machine Learning and Reinforcement Learning in Finance Specialization,"The main goal of this specialization is to provide the knowledge and practical skills necessary to develop a strong foundation on core paradigms and algorithms of machine learning (ML), with a particular focus on applications of ML to various practical problems in Finance.

The specialization aims at helping students to be able to solve practical ML-amenable problems that they may encounter in real life that include:

(1) mapping the problem on a general landscape of available ML methods,

(2) choosing particular ML approach(es) that would be most appropriate for resolving the problem, and

(3) successfully implementing a solution, and assessing its performance.

The specialization is designed for three categories of students:

Â· Practitioners working at financial institutions such as banks, asset management firms or hedge funds

Â· Individuals interested in applications of ML for personal day trading

Â· Current full-time students pursuing a degree in Finance, Statistics, Computer Science, Mathematics, Physics, Engineering or other related disciplines who want to learn about practical applications of ML in Finance.

The modules can also be taken individually to improve relevant skills in a particular area of applications of ML to finance.",https://www.coursera.org/specializations/machine-learning-reinforcement-finance
28,Machine Learning with TensorFlow on Google Cloud Platform Specialization,"What is machine learning, and what kinds of problems can it solve? What are the five phases of converting a candidate use case to be driven by machine learning, and why is it important that the phases not be skipped? Why are neural networks so popular now? How can you set up a supervised learning problem and find a good, generalizable solution using gradient descent and a thoughtful way of creating datasets? Learn how to write distributed machine learning models that scale in Tensorflow, scale out the training of those models. and offer high-performance predictions. Convert raw data to features in a way that allows ML to learn important characteristics from the data and bring human insight to bear on the problem. Finally, learn how to incorporate the right mix of parameters that yields accurate, generalized models and knowledge of the theory to solve specific types of ML problems. You will experiment with end-to-end ML, starting from building an ML-focused strategy and progressing into model training, optimization, and productionalization with hands-on labs using Google Cloud Platform.

> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <",https://www.coursera.org/specializations/machine-learning-tensorflow-gcp
29,"Data Engineering, Big Data, and Machine Learning on GCP Specialization","87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career and provides training to support your preparation for the industry-recognized Google Cloud Professional Data Engineer certification.

Here's what you have to do

1) Complete the Coursera Data Engineering Professional Certificate

2) Review other recommended resources for the Google Cloud Professional Data Engineer certification exam

3) Review the Professional Data Engineer exam guide

4) Complete Professional Data Engineer sample questions

5) Register for the Google Cloud certification exam (remotely or at a test center)

Applied Learning Project

This professional certificate incorporates hands-on labs using Qwiklabs platform.These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud Platform products used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.",https://www.coursera.org/specializations/gcp-data-machine-learning
30,AI in Healthcare Specialization,"Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and youâll get a sense of how AI could transform patient care and diagnoses.

In this specialization, we'll discuss the current and future applications of AI in healthcare with the goal of learning to bring AI technologies into the clinic safely and ethically.

This specialization is designed for both healthcare providers and computer science professionals, offering insights to facilitate collaboration between the disciplines.

CME Accreditation

The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians. View the full CME accreditation information on the individual course FAQ page.",https://www.coursera.org/specializations/ai-healthcare
31,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning. The Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",https://www.coursera.org/learn/introduction-tensorflow
32,,No Descriptions,https://www.coursera.org/projects/nlp-fake-news-detector
33,Ethics in the Age of AI Specialization,"As machine learning models begin making important decisions based on massive datasets, we need to be aware of their limitations. In this specialization, we will explore the rise of algorithms, fundamental issues of fairness and bias in machine learning, and basic concepts involved in security and privacy of machine learning projects. We'll finish with a study of 3 projects that will allow you to put your new skills into action.",https://www.coursera.org/specializations/ethics-in-ai
34,Alibaba Cloud Computing Specialization,"This specialization is intended for both students and businesses who aim to learn more about how Cloud technology can help them grow. With Cloud Computing, Big Data, and Cloud Security courses, users will be exposed to a series of products that combine to make architectures fit for any task.

This specialization will train the user on two levels: first, the basic specifications and functions of our principle product line, and secondly, evaluates a user's ability to use several different products together to create best practice solutions on Alibaba Cloud.

Users that pass this specialization will stand out among their peers as IT professionals that can not only build a cloud architecture on their own but administrate a larger network of cloud resources on Alibaba Cloud.

Taking this training offered by our official training partner, Coursera, will also prepare you to succeed on the ACP/ACA professional certification exam series (offered here: https://edu.alibabacloud.com/certification) and launch your next career as a Cloud professional.",https://www.coursera.org/specializations/alibabacloud
35,From Data to Insights with Google Cloud Platform Specialization,"Want to know how to query and process petabytes of data in seconds? Curious about data analysis that scales automatically as your data grows? Welcome to the Data Insights course!

This four-course accelerated online specialization teaches course participants how to derive insights through data analysis and visualization using the Google Cloud Platform. The courses feature interactive scenarios and hands-on labs where participants explore, mine, load, visualize, and extract insights from diverse Google BigQuery datasets. The courses also cover data loading, querying, schema modeling, optimizing performance, query pricing, and data visualization.

This specialization is intended for the following participants:

â Data Analysts, Business Analysts, Business Intelligence professionals

â Cloud Data Engineers who will be partnering with Data Analysts to build scalable data solutions on Google Cloud Platform

To get the most out of this specialization, we recommend participants have some proficiency with ANSI SQL.

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform
36,Certified Ethical Emerging Technologist Professional Certificate,"The Certified Ethical Emerging Technologist (CEET) industry validated certification helps professionals draw higher salaries (25% on average) and differentiate themselves from other job candidates.

Organizations and governments are seeking out ethics professionals to minimize risk and guide their decision-making about the design of inclusive, responsible, and trusted technology. An algorithm not designed and assessed in alignment with ethical standards can create further inequity across race, gender and marginalized populations. The reputational and financial impact of an ethics violation can devastate a company. Knowledgeable ethics leaders are needed who can navigate through the more than 160 frameworks and guidelines to select and implement the best strategy to promote fairness and minimize risk for their organization. This specialization is designed for learners who want to create and lead initiatives that prioritize ethical integrity within emerging data-driven technology fields such as artificial intelligence and data science and will be prepared to bridge the gap between theory and practice.

Your journey to CEET Certification

1) Complete the Coursera Certified Ethical Emerging Technologist Professional Certificate

2) Complete the Coursera course Preparing for Your CertNexus Certification Exam

3) Review the CEET CET-110 Exam Blueprint

4) Purchase your CEET Exam Voucher

5) Register for your CEET Exam",https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist
37,Cloud Computing Specialization,"The Cloud Computing Specialization takes you on a tour through cloud computing systems. We start in in the middle layer with Cloud Computing Concepts covering core distributed systems concepts used inside clouds, move to the upper layer of Cloud Applications and finally to the lower layer of Cloud Networking. We conclude with a project that allows you to apply the skills you've learned throughout the courses.

The first four courses in this Specialization form the lecture component of courses in our online Master of Computer Science Degree in Data Science. You can apply to the degree program either before or after you begin the Specialization.",https://www.coursera.org/specializations/cloud-computing
38,IBM Machine Learning Professional Certificate,"Machine Learning is one of the most in-demand skills for jobs related to modern AI applications, a field in which hiring has grown 74% annually for the last four years (LinkedIn). This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Machine Learning and leverage the main types of Machine Learning: Unsupervised Learning, Supervised Learning, Deep Learning, and Reinforcement Learning. It also complements your learning with special topics, including Time Series Analysis and Survival Analysis.

This program consists of 6 courses providing you with solid theoretical understanding and considerable practice of the main algorithms, uses, and best practices related to Machine Learning . You will follow along and code your own projects using some of the most relevant open source frameworks and libraries.

Although it is recommended that you have some background in Python programming, statistics, and linear algebra, this intermediate series is suitable for anyone who has some computer skills, interest in leveraging data, and a passion for self-learning. We start small, provide a solid theoretical background and code-along labs and demos, and build up to more complex topics.

In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Machine Learning.",https://www.coursera.org/professional-certificates/ibm-machine-learning
